Budget Project Name(s),Dept,Budget Project Code(s),Commissioner District,Estimated Completion Date,Budget Fund(s),Funding Source,Location Name,Operational Impact,Pertinent Information,Project Manager,Project Narrative,Project Phase,Status,Project Priority,Start Date,Strategic Goals,Budget Org Code(s),Budget Account Code(s),Budget Account Name(s),In-House Engineering,FY2027 Proposed,FY2028 Proposed,FY2029 Proposed,FY2030 Proposed,FY2031 Proposed,Total FY2027-FY2031,Status Notes,Last Updated,Last Updated By,FY 2022 Proposed,FY2023 Proposed,FY2024 Proposed,FY2025 Proposed,YouTube Video URL,FY2026 Proposed
Natural Bridge Roadway and Drainage Improvement,Public Works,105745,District 2,08/2024,Transportation Fund,Transportation & Public Works,,,,Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.

From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",Construction,Complete,None,July 2024,,,,,,$0,$0,$0,$0,$0,,,9/1/2026,,,$0,"$33,802",$0,,$0
Grant North End Multi-Use Trail & Pedestrian Path,Public Works,10289,,05/2025,Grant Funded,Transportation & Public Works,,,,,"Design: Panhandle Engineering & Construction, Inc. (PECS)
Design Task Order: 23-04
Design Cost: $166,180.00
CEI: Atkins
CEI Task Order: ENG 24-05
CEI Cost: $82,325.00
Contractor: Premier Paving, LLC
Construction Contract: 24-40
Original Construction Cost: $357,165.58
Final Construction Cost: $311,026.14
Combined Design + CEI + Final Construction: $559,531.14",Design & Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,"$559,531",$0,,$0
Pisces Drive Resurfacing,Public Works,15010,District 5,10/2024,Transportation Fund,Transportation & Public Works,,,,Scott Caraway,"Overlaying the existing asphalt roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing the existing asphalt pavement to address surface deterioration, rutting, cracking, and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing pavement, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.

In addition to improving safety and drivability, the project will support the County’s ongoing efforts to preserve public infrastructure assets in a cost-effective manner. Timely resurfacing extends the useful life of existing roadways and delays the need for more extensive and expensive reconstruction projects in the future. The improved roadway conditions will also reduce wear and tear on vehicles, enhance drainage performance, and improve overall transportation efficiency within the County.",Construction,Complete,None,September 2024,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,"$60,386",$0,,$0
Renoir Court (Dirt to Pave),Public Works,15638,District 3,07/2024,Transportation Fund,Transportation & Public Works,,,"Per the FY24-28 work plan (adopted February 27, 2024): $20,000 budgeted for FY2024 construction/CEI (In-House; materials only), funded by PW Capital. Complete.",Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.
From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",Construction,Complete,None,July 2024,,,,,,$0,$0,$0,$0,$0,,,9/1/2026,,,$0,"$10,289",$0,,$0
Grant Rock Hill Rd Improvements (Phase I - US 331 to High Lonesome Rd),Public Works,,,10/2024,Grant Funded,Grant Funded,,,"Per the FY24-28 work plan (adopted February 27, 2024): $4,641,123.10 budgeted for FY2024 design and construction/CEI (Phase I only), funded by FDOT ARPA Funds. Phase I complete.",,,Design & Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,$0,"$4,641,123",$0,,$0
Indian Creek Ranch Road Bridge Replacement,Public Works,10089,,09/2023,Capital Projects Fund,Transportation & Public Works,,,"Per the FY22/23 Walton County Public Works Capital Projects list: $756,534.41 budgeted for FY2023 construction/CEI, outsourced (Bridge# 604004, supplemental funds for construction, 2.06 miles east of US Hwy 331). Complete.",,,Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,"$756,534",$0,$0,,$0
Summer Lake Outfall Phase 1,Public Works,10198,,,Capital Projects Fund,Transportation & Public Works,,,,,,Design,Programmed,None,TBD,,,,,,$0,$0,$0,$0,$0,,Programmed funds to be utilized as match requirement for seeking Resiliency grant funds.,9/1/2026,,,$0,$0,$0,,"$320,000"
East Point Washington Road Connector Phase III,Public Works,10192,District 5,03/2024,Capital Projects Fund,Transportation & Public Works,,,"Per the FY22/23 South Walton County Infrastructure Fund Capital Projects list: $1,431,239.87 budgeted for FY2023 construction, outsourced. Complete.",Jim Harman,Realignment of East Point Washington Road.,Construction,Complete,None,April 2023,,,,,,$0,$0,$0,$0,$0,,,9/1/2026,,,"$1,431,240",$0,$0,,$0
Deer Lake Bridge (Coastal Dune Lake Hydrologic Restoration),Public Works,10230,District 5,03/2024,Capital Projects Fund,Transportation & Public Works,,,"Per the FY22/23 South Walton County Infrastructure Fund Capital Projects list: $337,311.28 budgeted for FY2023 construction (combined construction and CEI), outsourced. Complete.",Jim Harman,Replacement of existing culvert crossing with new concrete bridge.,Construction,Complete,None,October 2023,,,,,,$0,$0,$0,$0,$0,,,9/1/2026,,,"$337,311",$0,$0,,$0
West Heather Ave (Dirt to Pave),Public Works,101402,,06/2023,Transportation Fund,Transportation & Public Works,,,"Per the FY22/23 Walton County Public Works Capital Projects list: $14,075 budgeted for FY2023 construction (In-House), Walden Road to end of maintenance, 0.06 miles. Complete.",,,Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,"$14,075",$0,$0,,$0
Orange Blossom Avenue (Dirt to Pave),Public Works,10306,District 3,,Transportation Fund,Transportation & Public Works,,,,Scott Caraway,"The Orange Blossom Avenue Dirt-to-Pave project will improve the existing unpaved portions of East and West Orange Blossom Avenue from Brookside Drive to the end of County maintenance. The project includes roadway base stabilization, paving, pavement striping, drainage improvements, and sod installation. These improvements will provide a safer and more reliable roadway surface, improve stormwater drainage, and reduce ongoing maintenance needs for residents traveling along the corridor.",Construction,In Progress,None,01/2026,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,$0,,"$73,830"
Pointsetta Ave (Dirt to Pave),Public Works,10307,District 3,,Transportation Fund,Transportation & Public Works,,,,Scott Caraway,"The Poinsetta Avenue East and West Dirt-to-Pave project will improve approximately 0.32 miles of existing unpaved roadway from Walden Road to the end of County maintenance. The project includes roadway base stabilization, paving, pavement striping, drainage improvements, and sod installation. These improvements will provide a safer and more reliable roadway surface, improve stormwater drainage, and reduce ongoing maintenance needs along the corridor.",Construction,In Progress,None,03/2026,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,$0,,"$69,732"
Oleander Avenue (Dirt to Pave),Public Works,10308,District 3,09/2024,Transportation Fund,Transportation & Public Works,,,"Per the FY22/23 Walton County Public Works Capital Projects list: $82,930.83 budgeted for FY2023 construction (In-House), Brookside Drive to end of maintenance, 0.39 miles. Complete.",Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.
From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",Construction,Complete,None,03/2024,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,"$82,931",$0,$0,,$0
Larkspur Avenue (Dirt to Pave),Public Works,10309,District 3,09/2024,Transportation Fund,Transportation & Public Works,,,"(In-House), Brookside Drive to end of maintenance, 0.52 miles. Complete.",Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.

From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",Construction,Complete,None,03/2024,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,"$92,968",$0,$0,,$0
Harrison Road (Dirt to Pave),Public Works,10310,District 2,04/2025,Transportation Fund,Transportation & Public Works,,,"Per the FY22/23 Walton County Public Works Capital Projects list: $387,875.43 budgeted for FY2023 construction (In-House), end of pavement to Co Hwy 2, 1.59 miles. Complete.",Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.
From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",Construction,Complete,None,08/2024,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,"$387,875",$0,$0,,$0
WC Currington Road (Milled Asphalt Road Improvements),Public Works,12022,,07/2023,Transportation Fund,Transportation & Public Works,,,"Per the FY22/23 Walton County Public Works Capital Projects list: $210,720 budgeted for FY2023 construction (In-House), White Creek Road to CR 183, 2.55 miles. Complete.",,,Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,"$210,720",$0,$0,,$0
McHenry Road (Milled Asphalt Road Improvements),Public Works,100861,,05/2023,Transportation Fund,Transportation & Public Works,,,"Per the FY22/23 Walton County Public Works Capital Projects list: $153,479.18 budgeted for FY2023 construction (In-House), WC Currington Road to CR 183, 1.22 miles. Complete.",,,Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,"$153,479",$0,$0,,$0
Mack Bayou Road Resurfacing,Public Works,,,12/2025,Transportation Fund,Transportation & Public Works,,,"Per the FY22/23 Walton County Public Works Capital Projects list: $489,720 budgeted for FY2023 resurfacing (In-House), Hwy 98 to E&W Harborview Road, 2.24 miles. Substantial construction complete December 2025.",,,Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,"$489,720",$0,$0,,$0
Williams Road Resurfacing,Public Works,19047,District 3,09/2025,Transportation Fund,Transportation & Public Works,,,"(In-House), Hwy 331 to Turkey Creek Pit Road, 2.89 miles. Complete.",Scott Caraway,"Overlaying the existing asphalt roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing the existing asphalt pavement to address surface deterioration, rutting, cracking, and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing pavement, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.

In addition to improving safety and drivability, the project will support the County’s ongoing efforts to preserve public infrastructure assets in a cost-effective manner. Timely resurfacing extends the useful life of existing roadways and delays the need for more extensive and expensive reconstruction projects in the future. The improved roadway conditions will also reduce wear and tear on vehicles, enhance drainage performance, and improve overall transportation efficiency within the County.",Construction,Complete,None,08/2025,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,"$338,786",$0,$0,,$0
Blue Pond Circle Resurfacing,Public Works,12543,,05/2023,Transportation Fund,Transportation & Public Works,,,"In-House), Holmes County Line to end of pavement, 0.77 miles. Complete.",,,Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,"$75,540",$0,$0,,$0
County Highway 83 South Resurfacing,Public Works,,,05/2024,Transportation Fund,Transportation & Public Works,,,"Per the FY22/23 Walton County Public Works Capital Projects list: $435,600 budgeted for FY2023 resurfacing (In-House), CR30A to US Hwy 98, 2.2 miles. Complete.",,,Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,"$435,600",$0,$0,,$0
Adams Street Resurfacing,Public Works,15863,District 2,07/2023,Transportation Fund,Transportation & Public Works,,,"(In-House), Clear Springs Road to CR 147, 1 mile",Scott Caraway,"Overlaying the existing asphalt roadway surface will preserve and extend the service life of the County’s transportation infrastructure while improving overall roadway conditions for the traveling public. The project will consist of resurfacing the existing asphalt pavement to address surface deterioration, rutting, cracking, and other deficiencies caused by age, weather, and continuous traffic loading. The proposed asphalt overlay will restore a smooth and structurally sound driving surface, improving ride quality and enhancing roadway safety for motorists, school buses, emergency response vehicles, and commercial traffic. By correcting surface defects and sealing the existing pavement, the project will also reduce water infiltration into the roadway base, helping to prevent accelerated pavement failure and reducing long-term maintenance costs for the County.

In addition to improving safety and drivability, the project will support the County’s ongoing efforts to preserve public infrastructure assets in a cost-effective manner. Timely resurfacing extends the useful life of existing roadways and delays the need for more extensive and expensive reconstruction projects in the future. The improved roadway conditions will also reduce wear and tear on vehicles, enhance drainage performance, and improve overall transportation efficiency within the County.",Construction,Complete,None,06/2023,,,,,,$0,$0,$0,$0,$0,,,9/1/2026,,,"$155,381",$0,$0,,$0
Primrose Avenue (Dirt to Pave),Public Works,10129,District 3,,Transportation Fund,Transportation & Public Works,,,,Scott Caraway,"The Primrose Avenue Dirt-to-Pave project will improve the existing unpaved roadway by stabilizing the road base and constructing a new paved surface. The project includes paving, pavement striping, sod installation, and associated roadway improvements. The project will provide a safer and more reliable roadway surface while reducing ongoing maintenance needs and improving access for residents along Primrose Avenue.",Construction,In Progress,None,08/2026,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,$0,,"$60,643"
Jonquil Avenue (Dirt to Pave),Public Works,10130,District 3,,Transportation Fund,Transportation & Public Works,,,"$62,367 moved from FY2022 to FY2026 for construction, Brookside Drive to end of maintenance, 0.37 miles. Start date TBD.",Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.
From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",Construction,Programmed,None,TBD,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,$0,,"$62,367"
Cornflower Avenue (Dirt to Pave),Public Works,10131,District 3,,Transportation Fund,Transportation & Public Works,,,"$49,602 moved from FY2022 to FY2026 for construction, Brookside Drive to end of maintenance, 0.29 miles. Start date TBD.",Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.
From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",Construction,Programmed,None,TBD,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,$0,,"$49,602"
Hyacinth Avenue (Dirt to Pave),Public Works,10132,District 3,,Transportation Fund,Transportation & Public Works,,,"$57,578 moved from FY2022 to FY2026 for construction, Brookside Drive to end of maintenance, 0.34 miles. Start date TBD.",Scott Caraway,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.
From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",Construction,Programmed,None,TBD,,,,,,$0,$0,$0,$0,$0,,,8/31/2026,,,$0,$0,$0,,"$57,578"
Beaver Dam Road (Dirt to Pave),Public Works,10133,,07/2023,Transportation Fund,Transportation & Public Works,,,"Per the FY 21/22 Walton County Public Works Capital Projects list: $91,556 budgeted for FY2022 construction, Trout Drive to end of maintenance, 0.42 miles.",,,Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,8/27/2026,,,$0,$0,$0,,"$91,556"
Roman Road (Dirt to Pave),Public Works,10134,District 3,10/2023,Transportation Fund,Transportation & Public Works,,,,,"The proposed project consists of paving an existing county-maintained dirt roadway to improve the overall safety, reliability, and efficiency of the county’s transportation network. The roadway currently serves local residents, school bus traffic, emergency service providers, and other daily users; however, its unpaved condition creates ongoing maintenance challenges, reduced travel reliability, and hazardous driving conditions during periods of heavy rainfall and dry weather. The project will include roadway grading and shaping, installation or improvement of drainage infrastructure as needed, placement of a stabilized base course, and construction of an asphalt pavement surface. Associated work may also include shoulder improvements, traffic control devices, roadway striping, and erosion control measures necessary to provide a durable and safe transportation corridor. Paving this roadway will provide significant long-term benefits to the county and the traveling public. The project will improve vehicle safety by reducing loose aggregate, wash-boarding, rutting, dust generation, and muddy conditions that are commonly associated with dirt roads. The improved surface will enhance traction and visibility while reducing the likelihood of accidents and roadway failures during adverse weather conditions. The project will also improve emergency response access and reliability for law enforcement, fire rescue, and medical personnel by providing a dependable all-weather route. School bus operations and daily commuting conditions for residents will be improved through smoother travel surfaces, reduced vehicle wear and tear, and shorter travel times.

From an operational standpoint, paving the roadway will reduce the county’s recurring maintenance costs associated with grading, reshaping, dust suppression, and storm-related repairs that are routinely required on unpaved roads. The paved surface will provide a longer-lasting transportation asset that can be maintained more efficiently and economically over time. In addition, the project will support continued growth and economic development within the county by improving connectivity between residential areas, agricultural properties, local businesses, and other public infrastructure. The upgraded roadway will strengthen the county transportation system by providing safer and more dependable access for residents and visitors while enhancing the overall quality of life for the surrounding community.",Construction,Complete,None,,,,,,,$0,$0,$0,$0,$0,,,9/1/2026,,,$0,$0,$0,,"$104,976"
